"","policeDistrict","Season","nParks","avgCallM","subgroupSize","sdCallM"
"1","Central","Lantern Fly",47,5.06666666666667,15,2.05171240906805
"2","Central","Regular",47,4.88888888888889,9,2.26077666104176
"3","Central","Winter",47,3.875,8,3.60307408432617
"4","Eastern","Lantern Fly",28,3.4,15,1.18321595661992
"5","Eastern","Regular",28,3.55555555555556,9,1.87823794493077
"6","Eastern","Winter",28,2.25,8,1.66904592079256
"7","Northeastern","Lantern Fly",22,8.2,15,5.12974518999587
"8","Northeastern","Regular",22,8.33333333333333,9,3.77491721763537
"9","Northeastern","Winter",22,7.125,8,3.72011904571422
"10","Northern","Lantern Fly",56,5.4,15,3.20267745131208
"11","Northern","Regular",56,4.55555555555556,9,2.40370085030933
"12","Northern","Winter",56,3.75,8,2.31455024943138
"13","Northwestern","Lantern Fly",25,8.6,15,4.43685860555802
"14","Northwestern","Regular",25,6,9,2.64575131106459
"15","Northwestern","Winter",25,5.875,8,3.72011904571422
"16","Southeastern","Lantern Fly",26,4.86666666666667,15,2.32583830253176
"17","Southeastern","Regular",26,4.22222222222222,9,3.2702361450581
"18","Southeastern","Winter",26,2.25,8,1.38873014965883
"19","Southern","Lantern Fly",41,3.66666666666667,15,2.09307247388913
"20","Southern","Regular",41,3.33333333333333,9,2.12132034355964
"21","Southern","Winter",41,2.75,8,1.83225076262581
"22","Southwestern","Lantern Fly",37,5.66666666666667,15,2.94392028877595
"23","Southwestern","Regular",37,5.33333333333333,9,3.1224989991992
"24","Southwestern","Winter",37,5.125,8,4.05101398241407
"25","Western","Lantern Fly",65,6.53333333333333,15,4.40562411123825
"26","Western","Regular",65,5,9,3.35410196624968
"27","Western","Winter",65,3.625,8,3.58319490319543
